author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex;author_type;price_per_m2
МОСКВА СИТИ;https://www.cian.ru/sale/flat/266403888/;Москва;sale;flat;12;57;5;218.0;191119750;Хорошевский;Чапаевский переулок;Аэропорт;Триумф-Палас;real_estate_agent;876696.0
BARNES International Realty;https://www.cian.ru/sale/flat/274019424/;Москва;sale;flat;3;7;5;177.0;199000000;Пресненский;Никитский бульвар;Арбатская;;real_estate_agent;1124293.0
Ashtons International Realty;https://www.cian.ru/sale/flat/222115846/;Москва;sale;flat;5;10;5;300.0;215000000;Пресненский;Климашкина;Улица 1905 года;Панорама;real_estate_agent;716666.0
Capital Mars;https://www.cian.ru/sale/flat/281955414/;Москва;sale;flat;2;7;5;161.6;225521305;Арбат;Малая Молчановка;Арбатская;;real_estate_agent;1395552.0
Mosaic Realty;https://www.cian.ru/sale/flat/279231045/;Москва;sale;flat;5;9;5;200.5;240000000;Якиманка;Большая Якиманка;Полянка;Коперник;real_estate_agent;1197007.0
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/285223261/;Москва;sale;flat;2;14;5;245.3;245300000;Пресненский;переулок Капранова;Краснопресненская;Park House;real_estate_agent;1000000.0
ID 13428398;https://www.cian.ru/sale/flat/275251719/;Москва;sale;flat;5;6;5;201.6;244633280;Хамовники;Мансуровский переулок;Парк Культуры;;unknown;1213458.0
AB Development;https://www.cian.ru/sale/flat/238813311/;Москва;sale;flat;7;9;5;190.11;247143000;Раменки;Мосфильмовская;Ломоносовский проспект;Вишневый сад;developer;1300000.0
SKYEST;https://www.cian.ru/sale/flat/283641307/;Москва;sale;flat;16;16;5;210.2;271500000;Хамовники;Усачева;Спортивная;Садовые кварталы;real_estate_agent;1291627.0
ЛюксДом;https://www.cian.ru/sale/flat/285240997/;Москва;sale;flat;1;3;5;237.7;285000000;Тверской;Долгоруковская;Новослободская;Cameo Moscow Villas;real_estate_agent;1198990.0
Homeapp;https://www.cian.ru/sale/flat/280520524/;Москва;sale;flat;1;2;5;237.0;285000000;Тверской;Долгоруковская;Новослободская;Cameo Moscow Villas;real_estate_agent;1202531.0
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/284238763/;Москва;sale;flat;3;9;5;223.2;285000000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park;real_estate_agent;1276881.0
SKYEST;https://www.cian.ru/sale/flat/285142473/;Москва;sale;flat;9;13;5;200.0;299000000;Хамовники;Усачева;Спортивная;Садовые кварталы;real_estate_agent;1495000.0
Sminex-Интеко;https://www.cian.ru/sale/flat/281686960/;Москва;sale;flat;2;6;5;176.6;314890000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды;developer;1783069.0
;https://www.cian.ru/sale/flat/283967677/;Москва;sale;flat;8;9;5;296.4;313959328;Таганский;Серебрянический переулок;Китай-город;Титул на Серебрянической;;1059241.0
Verges of estate;https://www.cian.ru/sale/flat/273548506/;Москва;sale;flat;30;31;5;435.0;322000000;Очаково-Матвеевское;Нежинская;Славянский бульвар;Кутузовская Ривьера;real_estate_agent;740229.0
Sminex-Интеко;https://www.cian.ru/sale/flat/281686985/;Москва;sale;flat;3;6;5;170.4;328370000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды;developer;1927053.0
Capital Mars;https://www.cian.ru/sale/flat/281955405/;Москва;sale;flat;3;7;5;252.0;336370760;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо;real_estate_agent;1334804.0
BARNES International Realty;https://www.cian.ru/sale/flat/278613304/;Москва;sale;flat;3;6;5;213.4;358907600;Хамовники;переулок Коробейников;Парк Культуры;Кристалл Хаус;real_estate_agent;1681853.0
Selenahome;https://www.cian.ru/sale/flat/278179405/;Москва;sale;flat;3;8;5;240.0;370000000;Хамовники;2-й Зачатьевский переулок;Парк Культуры;Особняк в Зачатьевском переулке;real_estate_agent;1541666.0
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/279917580/;Москва;sale;flat;3;8;5;240.0;370000000;Хамовники;2-й Зачатьевский переулок;Парк Культуры;Особняк в Зачатьевском переулке;real_estate_agent;1541666.0
;https://www.cian.ru/sale/flat/284194840/;Москва;sale;flat;13;13;5;375.0;399000000;Арбат;Новый Арбат;Смоленская;Звёзды Арбата;;1064000.0
Capital Mars;https://www.cian.ru/sale/flat/281955407/;Москва;sale;flat;4;7;5;252.0;412818660;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо;real_estate_agent;1638169.0
Гардтекс;https://www.cian.ru/sale/flat/282397967/;Москва;sale;flat;7;9;5;253.0;442750000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE;developer;1750000.0
Sminex-Интеко;https://www.cian.ru/sale/flat/281686956/;Москва;sale;flat;5;6;5;180.7;446690000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды;developer;2471997.0
WELHOME;https://www.cian.ru/sale/flat/283689630/;Москва;sale;flat;6;7;5;303.0;458687400;Хамовники;Бутиковский переулок;Парк Культуры;Cooper house;real_estate_agent;1513819.0
Sminex-Интеко;https://www.cian.ru/sale/flat/281686973/;Москва;sale;flat;5;6;5;201.9;489010000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды;developer;2422040.0
ENGEO Development;https://www.cian.ru/sale/flat/278868163/;Москва;sale;flat;4;6;5;275.2;550000000;Тверской;Большая Дмитровка;Охотный ряд;Большая Дмитровка IX;developer;1998546.0
ENGEO Development;https://www.cian.ru/sale/flat/278868164/;Москва;sale;flat;6;6;5;216.0;585196200;Тверской;Большая Дмитровка;Охотный ряд;Большая Дмитровка IX;developer;2709241.0
Homeapp;https://www.cian.ru/sale/flat/266889608/;Москва;sale;flat;7;7;5;246.0;595000000;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо;real_estate_agent;2418699.0
BRIGHT ESTATE - городская недвижимость;https://www.cian.ru/sale/flat/267336080/;Москва;sale;flat;12;12;5;303.0;611583200;Хамовники;Ефремова;;Садовые кварталы;real_estate_agent;2018426.0
