author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/285096895/;Москва;sale;flat;9;14;2;50.8;403543;20500000;Арбат;Новинский бульвар;Арбатская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284399335/;Москва;sale;flat;3;27;2;58.4;356147;20799000;Хорошевский;Зорге;Полежаевская;Рихард
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/283386567/;Москва;sale;flat;21;46;2;45.9;457516;21000000;Даниловский;Дубининская;Павелецкая;Павелецкая сити
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283645121/;Москва;sale;flat;2;17;2;58.4;359589;21000000;Хорошевский;Полины Осипенко;Полежаевская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283929127/;Москва;sale;flat;14;17;2;51.3;415204;21300000;Нагатино-Садовники;Высокая;Коломенская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/278971272/;Москва;sale;flat;9;15;2;64.8;328703;21300000;Таганский;Мельникова;Пролетарская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279147687/;Москва;sale;flat;17;25;2;48.0;447916;21500000;Раменки;Лобачевского;Мичуринский проспект;Событие
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279476818/;Москва;sale;flat;9;10;2;70.0;307142;21500000;Даниловский;Автозаводская;Автозаводская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/285295362/;Москва;sale;flat;11;22;2;58.3;383361;22350000;Лефортово;Душинская;Авиамоторная;Геометрия (Душинская 16)
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282794160/;Москва;sale;flat;3;8;2;64.0;351562;22500000;Академический;Вавилова;Академическая;
ID 59150;unknown;https://www.cian.ru/sale/flat/282000177/;Москва;sale;flat;31;32;2;66.0;345454;22800000;Бутырский;;Бутырская;Руставели 14 ЖК
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280707023/;Москва;sale;flat;5;10;2;59.7;385259;23000000;Филевский парк;Береговой проезд;Фили;мой адрес На Береговом
