author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284211254/;Москва;sale;flat;4;4;1;20.7;317500;6572250;Басманный;Центросоюзный переулок;Бауманская;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284639058/;Москва;sale;flat;1;4;1;19.3;346632;6690000;Басманный;Радио;Бауманская;
REALTY PRО;real_estate_agent;https://www.cian.ru/sale/flat/285112008/;Москва;sale;flat;10;13;1;13.5;517777;6990000;Даниловский;Автозаводская;ЗИЛ;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/285049543/;Москва;sale;flat;4;5;1;36.4;192307;7000000;Выхино-Жулебино;Генерала Кузнецова;Жулебино;
ЕГЦН-М;real_estate_agent;https://www.cian.ru/sale/flat/281483162/;Москва;sale;flat;3;4;1;16.2;435000;7047000;Басманный;Центросоюзный переулок;Бауманская;
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/285154772/;Москва;sale;flat;22;25;1;29.0;248275;7200000;Митино;Митинская;Митино;Апарт-отель YE’S
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/282592500/;Москва;sale;flat;3;5;1;18.2;395604;7200000;Черемушки;Херсонская;Зюзино;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284412988/;Москва;sale;flat;4;4;1;26.4;287500;7590000;Басманный;Центросоюзный переулок;Бауманская;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/284329305/;Москва;sale;flat;2;5;1;17.6;454499;7999200;Хорошевский;Хорошевское шоссе;Беговая;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/279364129/;Москва;sale;flat;5;5;1;21.4;370000;7918000;Черемушки;Херсонская;Зюзино;
ЕГЦН-М;real_estate_agent;https://www.cian.ru/sale/flat/285073596/;Москва;sale;flat;3;4;1;20.5;399950;8198975;Басманный;Центросоюзный переулок;Бауманская;
ЦЗН ПРОСПЕКТ МИРА;real_estate_agent;https://www.cian.ru/sale/flat/283916017/;Москва;sale;flat;33;33;1;30.0;280000;8400000;Гольяново;;Черкизовская;Амурский парк ЖК
ОЛ ИНКЛЮЗИВ;real_estate_agent;https://www.cian.ru/sale/flat/285232431/;Москва;sale;flat;3;9;1;32.0;265625;8500000;Кузьминки;Волжский бульвар;Кузьминки;
Навигатор недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/283641070/;Москва;sale;flat;3;16;1;38.0;223684;8500000;Люблино;Тихорецкий бульвар;Люблино;
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/283791099/;Москва;sale;flat;2;19;1;35.0;245714;8600000;Некрасовка;Вертолетчиков;Некрасовка;Некрасовка
Алексей Торрес;realtor;https://www.cian.ru/sale/flat/282337263/;Москва;sale;flat;17;17;1;41.0;213414;8750000;Выхино-Жулебино;Хлобыстова;Рязанский проспект;
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/280498478/;Москва;sale;flat;5;5;1;31.0;283870;8800000;Щукино;Гамалеи;Щукинская;
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/283531053/;Москва;sale;flat;15;17;1;38.0;231578;8800000;;;Щербинка;
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/284189071/;Москва;sale;flat;10;16;1;43.2;210648;9100000;Бирюлево Восточное;Лебедянская;Царицыно;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/282129012/;Москва;sale;flat;10;14;1;25.5;356862;9100000;Сокол;Балтийская;Сокол;
ID 22340334;official_representative;https://www.cian.ru/sale/flat/283965467/;Москва;sale;flat;22;23;1;37.5;251808;9442830;Некрасовка;Недорубова;Некрасовка;Квартал Некрасовка
ЕГЦН-М;real_estate_agent;https://www.cian.ru/sale/flat/285141490/;Москва;sale;flat;10;10;1;27.1;350000;9485000;Проспект Вернадского;проспект Вернадского;Проспект Вернадского;
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/284599815/;Москва;sale;flat;15;22;1;38.8;250000;9700000;Северное Бутово;Знаменские Садки;Бульвар Дмитрия Донского;
ТСН Владис;real_estate_agent;https://www.cian.ru/sale/flat/284145933/;Москва;sale;flat;21;24;1;35.8;272346;9750000;Орехово-Борисово Южное;Каширское шоссе;Домодедовская;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/273003029/;Москва;sale;flat;4;12;1;22.7;436123;9900000;Лефортово;шоссе Энтузиастов;Москва-Товарная;Символ
STARГОРОД;real_estate_agent;https://www.cian.ru/sale/flat/275501424/;Москва;sale;flat;14;17;1;38.8;255154;9900000;Западное Дегунино;Ангарская;Селигерская;
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/283610705/;Москва;sale;flat;4;14;1;38.7;258397;10000000;Орехово-Борисово Северное;Маршала Захарова;Орехово;
