author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
РГ-Девелопмент;https://www.cian.ru/sale/flat/280126559/;Москва;sale;flat;4;19;3;62.8;21980000;Савеловский;Старый Петровско-Разумовский проезд;Гражданская;Петровский парк II
MR Group;https://www.cian.ru/sale/flat/283864501/;Москва;sale;flat;7;55;3;83.84;29260160;Марьина роща;4-я Марьиной рощи;Марьина роща;Mod
ПРОГРЕСС;https://www.cian.ru/sale/flat/283847258/;Москва;sale;flat;12;22;3;49.53;15089443;Щукино;Большой Волоколамский проезд;Стрешнево;Комплекс апартаментов B’aires
ПИК;https://www.cian.ru/sale/flat/280618883/;Москва;sale;flat;2;33;3;80.4;16082572;Отрадное;;Владыкино;Сигнальный 16 ЖК
КРОСТ;https://www.cian.ru/sale/flat/282881984/;Москва;sale;flat;8;19;3;91.4;28242600;Щукино;Расплетина;Октябрьское поле;Театральный квартал
Arkhipov team;https://www.cian.ru/sale/flat/283705926/;Москва;sale;flat;31;44;2;61.1;42500000;Пресненский;Ходынская;Улица 1905 года;Пресня Сити
Sminex-Интеко;https://www.cian.ru/sale/flat/281875124/;Москва;sale;flat;1;3;2;473.8;1215100000;Якиманка;;Третьяковская;Лаврушинский ЖК
СТАТУС;https://www.cian.ru/sale/flat/282461992/;Москва;sale;flat;3;45;2;85.1;16209423;Бирюлево Восточное;Михневская;Царицыно;Загорье
Группа Родина;https://www.cian.ru/sale/flat/285606684/;Москва;sale;flat;2;21;2;61.0;27284000;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ
ID 49343725;https://www.cian.ru/sale/flat/274981466/;Москва;sale;flat;17;17;2;55.6;15800000;Перово;Плеханова;;
MR Group;https://www.cian.ru/sale/flat/281257851/;Москва;sale;flat;4;41;2;60.3;35422783;Раменки;1-й Сетуньский проезд;Лужники;Hide
ANT Development;https://www.cian.ru/sale/flat/283856118/;Москва;sale;flat;20;32;2;50.8;44830642;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Группа Эталон;https://www.cian.ru/sale/flat/284037880/;Москва;sale;flat;2;15;2;76.2;26208530;Даниловский;;Технопарк;Шагал ЖК
Sminex-Интеко;https://www.cian.ru/sale/flat/281686968/;Москва;sale;flat;4;6;2;88.1;168240000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
ID 18653743;https://www.cian.ru/sale/flat/282460545/;Москва;sale;flat;14;16;2;51.18;12250000;;;Румянцево;
Донстрой;https://www.cian.ru/sale/flat/285462004/;Москва;sale;flat;7;9;2;83.1;41267460;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
ID 480011;https://www.cian.ru/sale/flat/284887519/;Москва;sale;flat;4;5;2;43.3;9000000;;;Рассказовка;
Аеон-Девелопмент;https://www.cian.ru/sale/flat/280707242/;Москва;sale;flat;13;45;2;73.4;37415683;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Марат Даминов;https://www.cian.ru/sale/flat/285808282/;Москва;sale;flat;4;27;2;75.1;33500000;Раменки;Лобачевского;Аминьевская;Событие
ANT Development;https://www.cian.ru/sale/flat/274568636/;Москва;sale;flat;-1;-1;-1;202.0;66301670;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
ID 32131560;https://www.cian.ru/sale/flat/279178456/;Москва;sale;flat;11;25;2;97.0;32900000;Очаково-Матвеевское;Нежинская;Давыдково;Нежинский ковчег
MR Group;https://www.cian.ru/sale/flat/280298740/;Москва;sale;flat;-1;-1;-1;202.0;26758693;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
МИЦ;https://www.cian.ru/sale/flat/286216760/;Москва;sale;flat;-1;-1;-1;202.0;7761552;;;Филатов Луг;
ID 18421437;https://www.cian.ru/sale/flat/284934166/;Москва;sale;flat;5;9;3;95.0;85000000;Тверской;Большой Каретный переулок;Цветной бульвар;Каретный плаза
Место;https://www.cian.ru/sale/flat/283380165/;Москва;sale;flat;20;23;3;68.8;27500000;Фили-Давыдково;Кастанаевская;Кунцевская;Shome
Место;https://www.cian.ru/sale/flat/285356951/;Москва;sale;flat;8;16;3;64.5;25499999;Филевский парк;Большая Филевская;Фили;Only
Э.К. Девелопмент;https://www.cian.ru/sale/flat/266637638/;Москва;sale;flat;3;25;3;85.1;30721100;Хорошевский;Маргелова;Беговая;Авиатика
Группа Эталон;https://www.cian.ru/sale/flat/284036633/;Москва;sale;flat;2;20;3;81.7;40306833;Замоскворечье;;Павелецкая;Воксхолл ЖК
Место;https://www.cian.ru/sale/flat/281610689/;Москва;sale;flat;21;52;3;108.4;54999999;Раменки;Мичуринский проспект;Раменки;
MR Group;https://www.cian.ru/sale/flat/282402740/;Москва;sale;flat;-1;-1;-1;202.0;15620071;Южнопортовый;Волгоградский проспект;Угрешская;Метрополия
Arkhipov team;https://www.cian.ru/sale/flat/284011351/;Москва;sale;flat;8;17;3;85.0;40000000;Беговой;Ленинградский проспект;Петровский Парк;Квартал апартаментов Искра-Парк
ASTERUS;https://www.cian.ru/sale/flat/274202165/;Москва;sale;flat;2;18;3;92.16;26717737;Покровское-Стрешнево;;Спартак;Алиа ЖК
МИЦ;https://www.cian.ru/sale/flat/286215533/;Москва;sale;flat;2;24;3;59.8;14431833;Марьина роща;Октябрьская;Марьина роща;Сити-комплекс MirrorЗдание
Инград;https://www.cian.ru/sale/flat/284859728/;Москва;sale;flat;4;30;3;65.26;19801193;Можайский;Петра Алексеева;Давыдково;КутузовGRAD II
MR Group;https://www.cian.ru/sale/flat/282655810/;Москва;sale;flat;-1;-1;-1;1.0;37681365;Западное Дегунино;Ильменский проезд;Верхние Лихоборы;Селигер Сити
ID 770041;https://www.cian.ru/sale/flat/283004117/;Москва;sale;flat;19;34;3;148.0;56000000;Аэропорт;Кочновский проезд;;Аэробус
ANT Development;https://www.cian.ru/sale/flat/283856154/;Москва;sale;flat;26;32;4;133.9;129103076;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Sminex-Интеко;https://www.cian.ru/sale/flat/277524786/;Москва;sale;flat;4;4;4;186.14;552950000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
Группа Эталон;https://www.cian.ru/sale/flat/284037931/;Москва;sale;flat;14;15;4;161.5;72054006;Даниловский;;Технопарк;Шагал ЖК
SHOW ME;https://www.cian.ru/sale/flat/284147840/;Москва;sale;flat;8;10;4;225.0;130000000;Аэропорт;Ленинградский проспект;Динамо;ВТБ Арена парк
СТАТУС;https://www.cian.ru/sale/flat/285379461/;Москва;sale;flat;10;20;4;127.0;32766000;Покровское-Стрешнево;Циолковского;Тушинская;На Циолковского
Пионер;https://www.cian.ru/sale/flat/283969686/;Москва;sale;flat;4;22;4;97.5;34186912;Марьина роща;Полковая;Савёловская;PRIDE
Аеон-Девелопмент;https://www.cian.ru/sale/flat/275341742/;Москва;sale;flat;-1;-1;-1;202.0;109532938;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
METRAGE;https://www.cian.ru/sale/flat/284784661/;Москва;sale;flat;5;6;4;221.0;70000000;Арбат;Поварская;Баррикадная;
