author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
Premium Realty,14,14,5,171.5,98000000,Раменки,не указано,Минская,Вест Гарден ЖК,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,45,1,2,4,7638.08
NF Group - ex-Knight Frank Russia,6,7,4,272.0,291342946,Хамовники,Смоленский бульвар,Смоленская,Клубный дом на Смоленском бульваре,Филёвская линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,896,318,1,0,3,10835.12
ЕГЦН-М,4,5,1,23.5,8342500,Хорошевский,Хорошевское шоссе,Беговая,не указано,Таганско-Краснопресненская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,991,13,1,0,2,1.0
КОРТРОС,18,35,3,108.0,59616000,Пресненский,Шмитовский проезд,Шелепиха,Headliner,Московское центральное кольцо,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1315,58,1,0,5,10945.47
Sminex-Интеко,7,8,5,459.4,2107580000,Якиманка,не указано,Третьяковская,Лаврушинский ЖК,Солнцевская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,1062,184,1,0,3,5765.0
Московский Риэлторский Центр,30,31,4,106.7,31000000,Ховрино,Беломорская,Беломорская,Discovery,Замоскворецкая линия,САО,6,9,91,0,60,0,40,0,57.0,5.73,89018,2450.2,1297,7,1,0,5,15535.43
ID 1623010,23,52,3,75.7,19500000,Покровское-Стрешнево,Северо-Западный ао,Тушинская,Сити Бэй ЖК,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,1,0,0,6,4604.81
МИЦ,24,28,2,46.11,7904291,Митино,Пятницкое шоссе,Пятницкое шоссе,Сити-комплекс Перец,Арбатско-Покровская линия,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,1065,194,1,0,5,15387.92
ПИК,20,33,2,58.98,16219500,Рязанский,Михайлова,Окская,Михайловский парк,Некрасовская линия,ЮВАО,8,0,100,0,38,0,60,2,27.0,6.49,109733,2025.9,214,1263,1,0,5,16908.01
Инград,1,1,4,137.01,60343989,Даниловский,Восточная,Автозаводская,RiverSky,Замоскворецкая линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1297,32,1,1,1,7485.4
NF Group - ex-Knight Frank Russia,8,9,4,219.3,200000000,Замоскворечье,Большая Татарская,Третьяковская,Четыре солнца,Калининская линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,156,318,1,0,3,13681.71
Whitewill,8,9,5,257.0,310000000,Хамовники,Саввинская набережная,Киевская,SAVVIN RIVER RESIDENCE,Филёвская линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,896,332,1,0,3,10835.12
Elite Real Estate Moscow,7,23,3,82.0,34000000,Пресненский,Шмитовский проезд,Шелепиха,Headliner,Московское центральное кольцо,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1315,5,1,0,5,10945.47
Sezar Group,18,25,2,66.8,31563000,Тропарево-Никулино,проспект Вернадского,не указано,Клубный дом Full House,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,8,1,0,5,1.0
Надежда Говорухина,1,12,2,44.7,10790000,Нагатинский затон,Затонная,Кленовый бульвар,не указано,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,2,0,1,4,1.0
Винидиктов и Партнеры,6,6,3,150.0,75000000,Беговой,3-я Ямского Поля,Белорусская,Art Residence,Кольцевая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,597,21,1,2,3,7694.42
Адалят Алиев,3,23,1,22.5,7720000,Солнцево,Авиаторов,Солнцево,Лучи,Солнцевская линия,ЗАО,5,29,71,0,100,0,0,0,98.0,11.29,126456,2058.4,1062,2,0,0,5,11200.71
