author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
PROНЕДВИЖИМОСТЬ,1,17,2,58.0,14700000,Хорошево-Мневники,Маршала Тухачевского,Карамышевская,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,26,1,1,5,1.0
ПИК,26,27,1,23.7,7887360,Нижегородский,к2.1,Нижегородская,Перовское 2 ЖК,Московское центральное кольцо,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1315,1263,1,0,5,5983.36
ПИК,4,33,2,46.0,10788380,Метрогородок,к1/2,Бульвар Рокоссовского,Открытый Парк ЖК,Московское центральное кольцо,ВАО,4,0,100,0,100,0,0,0,31.0,27.57,39024,575.7,1315,1263,1,0,5,1415.45
ID 80301916,1,4,1,20.9,4178000,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,не указано,None,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,-1,24,1,1,2,4604.81
Аврора Проперти,3,8,3,128.0,312671911,Пресненский,Богословский переулок,Пушкинская,Сытинский,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,62,1,0,3,10945.47
ЕГСН Продажа,10,17,2,71.6,27000000,Беговой,Ленинградский проспект,Динамо,Квартал апартаментов Искра-Парк,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,175,1,0,5,7694.42
Whitewill,8,21,3,77.3,44900000,Басманный,Земляной Вал,Чкаловская,Дом Chkalov,Люблинско-Дмитровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,569,332,1,0,5,13225.09
Донстрой,12,22,4,150.3,68927580,Хорошево-Мневники,Жилой комплекс остров,Терехово ,Остров,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,103,1,0,5,1.0
PANDA ESTATE,11,13,2,70.0,35000000,Беговой,Ленинградский проспект,Белорусская,Квартал апартаментов Искра-Парк,Кольцевая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,597,20,1,0,4,7694.42
Татьяна Геннадьевна Сердечная,3,4,-1,14.0,4800000,Нижегородский,Подъемная,Авиамоторная,не указано,Большая кольцевая линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1525,3,1,0,2,5983.36
ПИК,10,33,1,21.6,6741360,Отрадное,не указано,Владыкино,Сигнальный 16 ЖК,Серпуховско-Тимирязевская линия,СВАО,6,10,33,57,21,0,79,0,21.0,10.18,185488,3191.6,807,1263,1,0,5,18220.82
Level Group,29,37,2,42.5,17804293,Очаково-Матвеевское,не указано,Мичуринский проспект,Левел Мичуринский ЖК,Солнцевская линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1062,232,1,0,5,7453.93
Intermark Real Estate - ранее Savills - городская недвижимость,3,5,2,82.2,66807639,Арбат,Поварская,Баррикадная,не указано,Таганско-Краснопресненская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,991,225,1,0,2,17120.85
МИЦ,22,24,2,42.44,12904519,Марьина роща,Октябрьская,Марьина роща,Сити-комплекс MirrorЗдание,Люблинско-Дмитровская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,569,194,1,0,5,1.0
Homeapp,16,16,3,66.5,19999999,Мещанский,Верземнека,Рижская,не указано,Большая кольцевая линия,ЦАО,6,3,69,28,0,0,10,90,16.0,4.6,61213,1417.4,1525,553,1,2,4,13307.17
ID 18495319,7,12,2,67.1,17500000,не указано,не указано,Рассказовка,не указано,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,1,0,0,4,1.0
Группа Эталон,8,20,5,140.2,98196080,Замоскворечье,не указано,Павелецкая,Воксхолл ЖК,Кольцевая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,597,102,1,0,5,13681.71
Chase R.E.S.,27,48,1,43.0,17500000,Хорошево-Мневники,Народного Ополчения,Народное Ополчение,Wellton Towers,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,138,1,0,5,1.0
ID 63661,2,16,1,54.0,16850000,Обручевский,Академика Опарина,Беляево,не указано,Калужско-Рижская линия,ЮЗАО,2,9,78,13,32,5,40,23,54.0,6.11,86793,1742.0,977,2,0,0,4,14205.07
WELHOME,20,22,4,180.0,79000000,Марьина роща,1-я Ямская,Марьина роща,Премиум-квартал JAZZ,Люблинско-Дмитровская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,569,17,1,0,5,1.0
ПИК,6,13,1,24.1,8186770,Покровское-Стрешнево,Волоколамское шоссе,Спартак,Holland park,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,1263,1,0,4,4604.81
Аврора Проперти,5,7,3,73.4,53500000,Пресненский,Большой Тишинский переулок,Улица 1905 года,Sinatra,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,62,1,0,3,10945.47
А101,3,16,1,33.0,9279777,не указано,не указано,Улица Скобелевская,не указано,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,305,1,0,4,1.0
Whitewill,35,85,3,168.0,98617791,Пресненский,1-й Красногвардейский проезд,Деловой центр,МФК ОКО,Московское центральное кольцо,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1315,332,1,0,6,10945.47
не указано,28,28,5,141.97,54076373,Раменки,Мичуринский проспект,Мичуринский проспект,Инноватор,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,202,1,2,5,7638.08
Sezar Group,7,25,1,44.8,20885760,Тропарево-Никулино,проспект Вернадского,не указано,Клубный дом Full House,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,8,1,0,5,1.0
ПИК,23,23,1,19.7,6558130,Текстильщики,Юго-Восточный ао,Текстильщики,Волжский Парк ЖК,Большая кольцевая линия,ЮВАО,6,14,49,37,65,9,9,17,53.0,5.92,105267,1638.7,1525,1263,1,2,5,17781.59
БЕСТ на Проспекте Мира,21,22,5,141.2,40000000,Академический,Новочеремушкинская,Профсоюзная,не указано,Калужско-Рижская линия,ЮЗАО,6,4,31,65,16,2,51,31,7.0,5.83,109387,2467.0,977,1,0,0,5,18762.78
ПИК,28,33,1,32.3,10258480,Гольяново,не указано,Черкизовская,Амурский парк ЖК,Сокольническая линия,ВАО,5,20,80,0,83,0,17,0,83.0,14.99,163009,3024.1,1452,1263,1,0,5,10874.52
МОСКВА СИТИ,47,75,2,217.0,86800000,Пресненский,набережная Пресненская,Деловой центр,Город Столиц,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,23,1,0,6,10945.47
ПИК,22,33,1,32.3,9289480,Гольяново,не указано,Черкизовская,Амурский парк ЖК,Сокольническая линия,ВАО,5,20,80,0,83,0,17,0,83.0,14.99,163009,3024.1,1452,1263,1,0,5,10874.52
Инград,29,30,3,50.77,18292644,Можайский,Петра Алексеева,Давыдково,КутузовGRAD II,Большая кольцевая линия,ЗАО,4,25,75,0,95,0,5,0,91.0,10.73,138610,2655.9,1525,32,1,0,5,12917.99
МИЦ,-1,-1,-1,202.0,6598910,Митино,Пятницкое шоссе,Пятницкое шоссе,Сити-комплекс Перец,Арбатско-Покровская линия,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,1065,194,1,2,1,15387.92
BLACK MOSCOW CITY,12,85,2,70.0,34999999,Пресненский,1-й Красногвардейский проезд,Деловой центр,МФК ОКО,Солнцевская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1062,9,1,0,6,10945.47
ИМПЕРИАЛ,2,5,1,14.1,6259000,Богородское,Ивантеевская,Бульвар Рокоссовского,не указано,Сокольническая линия,ВАО,6,7,88,5,91,0,9,0,47.0,10.24,109324,1744.1,1452,85,1,0,2,10676.17
Велесстрой,14,24,2,47.9,22513000,Фили-Давыдково,Кастанаевская,Кунцевская,Shome,Большая кольцевая линия,ЗАО,6,13,81,6,83,0,17,0,69.0,6.96,115128,2388.6,1525,75,1,0,5,16541.38
ДСК-1,-1,-1,-1,8.0,15277680,Молжаниновский,Ленинградское шоссе,Водники,Первый Ленинградский,None,САО,5,83,17,0,100,0,0,0,117.0,21.78,12194,69.9,-1,34,1,2,1,559.87
МИЭЛЬ офис В Солнечногорске,6,12,1,38.0,7500000,Савёлки,Зеленоград,не указано,не указано,None,Зеленоградский округ,2,-1,-1,-1,-1,-1,-1,-1,-1.0,8.13,34472,695.0,-1,7,1,0,4,4240.1
Prime Life Development,4,30,3,82.79,29271842,Нагатино-Садовники,Нагатинская,Нагатинская,1-й Нагатинский,Серпуховско-Тимирязевская линия,ЮАО,7,39,53,8,76,0,24,0,108.0,8.17,83496,960.4,807,16,1,0,5,10219.83
Основа,24,29,2,62.1,19989990,Фили-Давыдково,Ивана Франко,Кунцевская,MainStreet,Арбатско-Покровская линия,ЗАО,6,13,81,6,83,0,17,0,69.0,6.96,115128,2388.6,1065,169,1,0,5,16541.38
FS PROPERTY,11,11,5,227.64,454000000,Хамовники,Усачева,Спортивная,Садовые кварталы,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,40,1,2,4,10835.12
Владис,4,16,1,17.5,5900000,Очаково-Матвеевское,Матвеевская,Аминьевская,не указано,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,246,1,0,4,7453.93
Hutton Development,6,8,-1,44.0,37664000,Таганский,Славянская площадь,Китай-город,LUMIN,Калужско-Рижская линия,ЦАО,6,1,36,63,0,0,25,75,3.0,8.01,123398,2380.6,977,46,1,0,3,15405.49
А101,14,16,1,36.0,9047611,не указано,не указано,Бунинская аллея,не указано,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,305,1,0,4,1.0
studio38,1,4,2,20.0,3490000,Нижегородский,Подъемная,Авиамоторная,не указано,Калининская линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,156,4,1,1,2,5983.36
ID 13183802,7,17,1,20.0,6000000,не указано,не указано,Бунинская аллея,не указано,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,1,0,0,5,1.0
ID 564585,13,14,1,38.8,10300000,Бибирево,Лескова,Бибирево,не указано,Серпуховско-Тимирязевская линия,СВАО,6,4,78,18,12,0,88,0,34.0,6.45,160163,2521.8,807,1,0,0,4,24831.47
Whitewill,3,7,4,227.0,739619100,Хамовники,Ефремова,Спортивная,Knightsbridge Private Park,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,332,1,0,3,10835.12
COLDY,13,21,-1,20.1,7785875,Нижегородский,не указано,Калитники,Н'айс Лофт ЖК,None,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,-1,24,1,0,5,5983.36
Винидиктов и Партнеры,18,31,4,145.0,52500000,Кунцево,Ярцевская,Молодежная,O2XYGEN,None,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,-1,21,1,0,5,9200.72
